referee,n,avg_cards,liga_avg,factor_raw,factor,ligas
"Ignacio Iglesias Villanueva, Spain",1,6.0,4.844,1.2387,1.0217,140
S. Singh,1,5.0,4.254,1.1753,1.0159,39
Yuri Elino Ferreira da Cruz,1,15.0,5.329,2.815,1.165,71
Arthur Gomes Rabelo,1,8.0,5.329,1.5014,1.0456,71
"Miguel Martinez Munuera, Spain",1,7.0,4.844,1.4452,1.0405,140
Anderson Ribeiro Gonçalves,1,8.0,5.329,1.5014,1.0456,71
Emerson Ricardo de Almeida Andrade,1,9.0,5.329,1.689,1.0626,71
D. Dickinson,1,6.0,4.809,1.2478,1.0225,3
D. Panchyshyn,1,6.0,4.809,1.2478,1.0225,3
M. Aslam,1,5.0,4.809,1.0398,1.0036,3
A. Dudic,1,2.0,4.809,0.4159,0.9469,3
M. Nagtegaal,1,6.0,4.809,1.2478,1.0225,3
K. Athanasiou,1,8.0,4.809,1.6637,1.0603,3
V. Romanov,1,4.0,4.809,0.8319,0.9847,3
G. Laibuvitz,1,6.0,4.809,1.2478,1.0225,3
P. Kralovic,1,5.0,4.809,1.0398,1.0036,3
B. Saryev,1,5.0,4.809,1.0398,1.0036,3
T. Farrugia Cann,1,4.0,4.809,0.8319,0.9847,3
M. Redder,1,3.0,4.809,0.6239,0.9658,3
Tiago Martins,1,9.0,3.997,2.252,1.1138,2
A. Bitigen,1,2.0,3.997,0.5004,0.9546,2
Luciano da Silva Miranda Filho,1,12.0,5.329,2.252,1.1138,71
M. Dohál,1,2.0,4.809,0.4159,0.9469,3
A. Ladebäck,1,3.0,4.809,0.6239,0.9658,3
P. Farrugia,1,3.0,4.809,0.6239,0.9658,3
M. Al Emara,1,2.0,4.809,0.4159,0.9469,3
D. Fuxman,1,4.0,4.809,0.8319,0.9847,3
J. Sundberg,1,1.0,3.997,0.2502,0.9318,2
F. San,1,4.0,3.997,1.0009,1.0001,2
V. Spasjoņņikovs,1,4.0,3.997,1.0009,1.0001,2
R. Hennessy,1,7.0,3.997,1.7515,1.0683,2
A. Čulina,1,3.0,4.809,0.6239,0.9658,3
L. Bilbija,1,2.0,4.809,0.4159,0.9469,3
E. Manouchos,1,4.0,4.809,0.8319,0.9847,3
S. Amland,1,6.0,4.809,1.2478,1.0225,3
I. Frid,1,6.0,4.809,1.2478,1.0225,3
S. van der Eijk,1,2.0,4.809,0.4159,0.9469,3
O. Hațegan,1,10.0,4.809,2.0796,1.0981,3
Ö. Güldibi,1,6.0,4.969,1.2075,1.0189,203
V. Bayarslan,1,9.0,4.969,1.8112,1.0737,203
W. Delajod,1,3.0,4.809,0.6239,0.9658,3
José Lax,1,8.0,5.257,1.5218,1.0474,141
Francisco Expósito,1,6.0,4.393,1.3657,1.0332,143
Thaillan Azevedo Gomes,1,1.0,5.329,0.1877,0.9262,71
S. Trucco,1,7.0,5.505,1.2715,1.0247,128
F. Espinoza,1,7.0,5.505,1.2715,1.0247,128
C. Betancur,1,5.0,5.085,0.9834,0.9985,13
W. Roldán,1,7.0,5.085,1.3767,1.0342,13
"Betancur, Carlos, Colombia",1,4.0,4.84,0.8265,0.9842,11
"Leodan Frankin Gonzalez Cabrera, Uruguay",1,4.0,5.085,0.7867,0.9806,13
B. Loayza,1,2.0,4.84,0.4133,0.9467,11
J. Pafundi,1,5.0,5.505,0.9082,0.9917,128
"Ortiz Novoa, Jose Alexander, Colombia",1,12.0,4.84,2.4796,1.1345,11
Jhon Alexander Ospina Londoño,1,3.0,5.085,0.59,0.9627,13
Joel Alarcón,1,3.0,5.085,0.59,0.9627,13
"Fernando Andre Vejar Diaz, Chile",1,5.0,4.84,1.0331,1.003,11
"Michael Espinoza, Peru",1,6.0,4.84,1.2398,1.0218,11
"Olofsson, Tess, Sweden",1,4.0,3.965,1.0088,1.0008,113
Dênis da Silva Ribeiro Serafim,1,7.0,5.329,1.3137,1.0285,71
"Paulo Belence Alves Dos Prazeres Filho, Brazil",1,4.0,5.329,0.7507,0.9773,71
Alexis Herrera,1,4.0,5.085,0.7867,0.9806,13
Kevin Paolo Ortega Pimentel,1,3.0,5.085,0.59,0.9627,13
A. Arena,1,3.0,4.189,0.7162,0.9742,135
Wagner do Nascimento Magalhães,1,4.0,5.329,0.7507,0.9773,71
"Lucas Canetto Bellote, Brazil",1,5.0,5.329,0.9383,0.9944,71
V. Crezzini,1,5.0,4.189,1.1937,1.0176,135
Byran Loayza,1,4.0,5.085,0.7867,0.9806,13
Facundo Raúl Tello Figueroa,1,9.0,5.085,1.77,1.07,13
"Dione Rissios,",1,4.0,4.84,0.8265,0.9842,11
"Joel Alarcon, Peru",1,2.0,4.84,0.4133,0.9467,11
"David Ojeda, Paraguay",1,5.0,4.84,1.0331,1.003,11
Ö. Turtay,1,5.0,4.969,1.0062,1.0006,203
M. Monaldi,1,7.0,4.189,1.6712,1.061,135
D. Rutella,1,1.0,4.189,0.2387,0.9308,135
O. Aksu,1,1.0,4.969,0.2012,0.9274,203
F. Tokail,1,7.0,4.969,1.4087,1.0372,203
G. Hasova,1,8.0,4.969,1.61,1.0555,203
Y. Arslan,1,4.0,4.969,0.805,0.9823,203
Augusto Menéndez,1,1.0,5.085,0.1967,0.927,13
"Alejandro Velasquez, Venezuela",1,6.0,4.84,1.2398,1.0218,11
