fid,fecha,liga,atk_L,atk_V,def_L,def_V,mu_L,mu_V,mu_cor,mu_sh_L,mu_sh_V,g_L,g_V,c_L,c_V,s_L,s_V
1311463,2024-11-19,143,1.0,0.7967436879688949,1.0,0.8531340070494348,0.7678206063444913,1.4229842267124464,7.0940788905013905,11.94016884060863,10.504823722982083,4,1,6,4,24,10
1180685,2024-11-20,71,1.1039574708851634,0.9404926499726329,0.9831738675755869,1.544488227282807,2.763206975248169,0.9088163481668632,10.050828958511557,15.578161131120368,12.031179444136999,2,2,5,4,11,11
1180687,2024-11-20,71,0.8711312972520583,1.2346863073597982,0.774870051792082,1.0608396178339843,1.203071343987417,1.0016611202905803,10.047928868138152,15.164230688859037,12.716429138282395,1,2,4,5,17,11
1180690,2024-11-20,71,1.3410831158653966,0.741815513236718,0.8325242028507432,1.2545761658587722,2.6324471230240407,0.569346776312827,10.059550406013008,14.186832072656864,12.564560141091622,2,1,3,4,13,8
1180691,2024-11-20,71,0.8353728420482422,1.0822153793660612,0.7966265713126353,1.1036160760109108,1.2085958692030931,0.8399261345689407,10.05250206806742,13.465145098737196,13.737477314031747,1,1,1,1,18,10
1180692,2024-11-20,71,0.8742638446761303,0.7519214678508801,0.8678423422682907,1.6762925119018155,2.0519067494309464,0.6015638643873267,9.976819723485054,17.986136580805322,11.833107793922025,2,0,6,9,11,20
1180693,2024-11-20,71,0.7171993854413176,1.34103178698603,0.770767216458303,1.1680663678334022,1.1802244550121486,1.0080089039363185,9.999992890806064,12.228314689486101,11.616266298639905,1,2,4,10,5,19
1180694,2024-11-20,71,0.8979844553977073,1.1669204779737703,0.8046627109088821,1.395443926252237,1.6418955224000635,1.024348036540901,10.073717494440723,15.372809365274856,12.330730945056095,0,1,6,5,13,14
1217635,2024-11-20,141,1.0970285297855573,0.7763925275368685,1.027714370282341,0.9026765201894494,1.3417148450211223,0.7811935481092256,9.560200153258798,13.141297262478743,10.507678232802606,2,1,4,5,13,13
1180686,2024-11-21,71,1.063197030575833,1.2687705078794136,1.0491897611045784,0.8421849402832479,1.2773073711878329,1.2498310744660703,10.02468092350845,13.286072590168864,12.646062087647623,0,0,1,10,3,27
1180689,2024-11-21,71,1.0833316388651115,1.3505578891631007,0.8732851620054394,1.0317458031942082,1.5361611682205378,1.4384330718306233,9.998217584343633,11.132150551794684,13.6872195760111,0,1,8,3,12,16
1208612,2024-11-22,140,0.6440265137921672,0.9147155842587408,0.7036939037172821,1.6092764547910436,1.5454260925238894,0.7578916797530482,9.515253751159142,14.453919784088965,6.217155599413704,2,0,3,2,12,6
1217669,2024-11-22,141,0.7753344039893841,0.9712530479149545,0.9532514483997645,1.065001953386352,1.1329804243755157,0.9946256825215535,9.588919723086459,13.56776177081106,11.009024510401243,0,0,6,4,14,10
1224067,2024-11-22,78,1.3607956855670915,0.741388426177809,0.44320813471021875,1.5499816155124218,3.561276317350745,0.4287500805495639,9.931492457946582,16.916806397407573,7.028651168218891,3,0,8,0,33,2
1180688,2024-11-23,71,0.8265013018875526,1.2202631081259758,0.6877027757131655,1.3026199936787701,1.5456219669711058,0.881268683974931,10.031812094203843,15.849688919193493,10.255388400805638,2,2,8,3,10,11
1180699,2024-11-23,71,1.0614973063582835,1.1484444963693778,0.586145794974441,1.2674680423280693,1.7828293505616437,0.7355741139956262,10.061461931499327,18.122497023044854,9.617222652063342,1,1,10,0,26,10
1180703,2024-11-23,71,0.665262571945737,1.2907104264057683,0.784543144468536,1.0520306034355065,0.8863667765813384,1.0557747086725675,10.065580430400319,13.807643212532978,14.259785196096708,0,1,4,2,9,10
1180704,2024-11-23,71,1.0685995460081814,0.6346316687873084,1.1335343242755347,1.117014818745224,1.6815778435742474,0.5788767987942242,10.040122645717851,17.427535369645835,9.642620929284167,1,1,6,5,19,7
1208133,2024-11-23,39,0.9763406898924757,0.9360289782657872,0.6853974570839954,1.0651209780136148,1.847646653329375,0.9546101554012332,11.03475402681598,14.74008240796451,12.657140324240302,1,2,7,0,19,6
1208134,2024-11-23,39,1.328480193555842,1.0577185845257768,0.722760666755937,0.8875891975154744,2.0368703510908683,1.1640733018821738,10.983022317298126,18.11310188560111,10.579361939277515,3,0,8,1,19,7
1208135,2024-11-23,39,0.9997184579292963,0.8052786974684016,0.8452471888371486,1.078839721323353,1.734496305992617,0.9716498158679377,10.957949743700633,12.458784403697871,12.790204065925632,2,2,10,1,17,13
1208136,2024-11-23,39,0.7264820983188337,0.8471736252158626,0.7433111640586741,1.2940800618369306,1.6035324674964218,0.8378491462894033,10.976328675811768,14.79338536770919,9.516285154935343,0,0,10,4,27,9
1208137,2024-11-23,39,0.9675410707407797,0.9777907412800463,0.8759374810792242,1.5397739950351035,2.635066623672404,1.251627064269121,11.00249490677125,18.848529622968865,11.56700278479096,1,4,7,2,10,10
